1653455723,column,column,column,column,1080530,Игровые консоли и гейминг >> Комплектующие для игровых ПК,goodram,_ddr_goodram_ddr3_8gb1600_135v_gr1600d3v64l118g,column,869,1,httpscomfyuapamjatddrgoodramddr38gb1600135vgr1600d3v64l118ghtml,column,05112025_1928,column,__42,Фастів,0
1653461640,,,,,2832257,Бытовая химия >> Все для уборки,cillit,Засіб для миття у ванній кімнаті Cillit BANG активна піна д/ванни та душу 600 мл,,154,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-cillit-bang-aktivna-pena-d-vanny-i-dusha-600-ml.html,220,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1653463102,6951119,RONIX,Фонарь налобный RONIX (RH-4283),125,2832279,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Ronix",ronix,Ліхтар Ronix RH-4283,,139,1,https://comfy.ua/fonar-ronix-rh-4283.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1653463110,6951117,RONIX,Фонарь RONIX RH-4275,269,2832277,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Ronix",ronix,Ліхтар Ronix RH-4275,,269,1,https://comfy.ua/fonar-ronix-rh-4275.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1653463111,6951120,RONIX,Фонарь налобный RONIX (RH-4285),389,2832280,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Ronix",ronix,Ліхтар Ronix RH-4285,,389,1,https://comfy.ua/fonar-ronix-rh-4285.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1653463112,6951116,RONIX,Фонарь RONIX RH-4274,539,2832276,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Ronix",ronix,Ліхтар Ronix RH-4274,,599,1,https://comfy.ua/fonar-ronix-rh-4274.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1653463183,6951115,RONIX,Фонарь RONIX RH-4273,899,2832275,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Ronix",ronix,Ліхтар Ronix RH-4273,,999,1,https://comfy.ua/fonar-ronix-rh-4273.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1653463185,6951114,RONIX,Фонарь RONIX RH-4230,1099,2832274,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Ronix",ronix,Ліхтар Ronix RH-4230,,1099,1,https://comfy.ua/fonar-ronix-rh-4230.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1653463186,6951118,RONIX,Фонарь RONIX RH-4277,1199,2832278,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Ronix",ronix,Ліхтар Ronix RH-4277,,1199,1,https://comfy.ua/fonar-ronix-rh-4277.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1653466809,,,,,2822451,Бытовая химия >> Средства для стирки,grunwald,Пральний порошок GRUNWALD універсальний Гірська Свіжість 350 г,,40,1,https://comfy.ua/stiral-nyj-poroshok-grunwald-universal-nyj-gornaja-svezhest-350-g.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1653466810,,,,,2822449,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки GRUNWALD,grunwald,Пральний порошок GRUNWALD д/руч.прання Гірська Свіжість 350 г,,36,1,https://comfy.ua/stiral-nyj-poroshok-grunwald-d-ruch-stirki-gornaja-svezhest-350-g.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1653466824,,,,,1593258,Техника для дома >> Швейное оборудование,janome,Швейна машина JANOME HS1515,,7389,1,https://comfy.ua/shvejnaja-mashina-janome-hs1515.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1653466825,,,,,.1593259,Техника для дома >> Швейное оборудование,janome,Швейна машина JANOME XE 300,,8299,1,https://comfy.ua/shvejnaja-mashina-janome-xe-300.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1653466826,6444176,JANOME,Швейная машина JANOME Janome 1547,9389,1468669,Техника для дома >> Швейное оборудование >> Швейное оборудование JANOME,janome,Швейна машина JANOME 1547,,9389,1,https://comfy.ua/shvejnaja-mashina-janome-1547.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1653466830,6670176,GRUNWALD,Стиральный порошок GRUNWALD универсальный 1.5 кг (GRL80303D),83,2822452,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки GRUNWALD,grunwald,"Пральний порошок GRUNWALD універсальний Гірська Свіжість 1,5 кг",,83,1,https://comfy.ua/stiral-nyj-poroshok-grunwald-universal-nyj-gornaja-svezhest-1-5-kg.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1653466833,,,,,2822461,Бытовая химия >> Средства для стирки,greenclean,"Пральний порошок Green&Clean Professional д/кольор.речей 1,35 кг., 18 циклів",,393,1,https://comfy.ua/stiral-nyj-poroshok-green-clean-professional-d-cvet-veschej-1-35-kg-18-ciklov.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1653466838,5836002,GREEN&CLEAN,"""Стиральный порошок """"Green&Clean"""" (GCL00478)""",489,957304,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки Green&Clean,greenclean,Пральний порошок Green&Clean GCL00478 Prof.д/колір.одягу(30циклів прання)к/у,,489,1,https://comfy.ua/stiral-nyj-poroshok-green-clean-gcl00478-prof-d-cvet-odezhdy-30stir-k-u.html,830,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1653466840,,,,,2822456,Бытовая химия >> Средства для стирки,greenclean,"Пральний порошок Green&Clean Professional д/кольор.речей 5 кг., 65 циклів",,1179,1,https://comfy.ua/stiral-nyj-poroshok-green-clean-professional-d-cvet-veschej-5-kg-65-ciklov.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1653466903,6967701,PANASONIC,Ирригатор PANASONIC EW-DJ11-A520,1999,2837816,Красота и здоровье >> Уход за полостью рта >> Ирригаторы и насадки >> Ирригаторы и насадки Panasonic,panasonic,Іригатор Panasonic EW-DJ11-A520,,1999,1,https://comfy.ua/irrigator-panasonic-ew-dj11-a520.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1653466906,6967700,PANASONIC,Ирригатор PANASONIC EW-DJ4B-W520,3399,2837815,Красота и здоровье >> Уход за полостью рта >> Ирригаторы и насадки >> Ирригаторы и насадки Panasonic,panasonic,Іригатор Panasonic EW-DJ4B-W520,,3199,1,https://comfy.ua/irrigator-panasonic-ew-dj4b-w520.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1653466917,6977287,KITCHENAID,Тостер KITCHENAID 5KMT2109EER Red,13899,2846076,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры KitchenAid,kitchenaid,Тостер KitchenAid 5KMT2109EER,,13899,1,https://comfy.ua/toster-kitchenaid-5kmt2109eer.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1653466920,6977289,KITCHENAID,Тостер KITCHENAID 5KMT2109ESX Stainless Steel,13899,2846075,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры KitchenAid,kitchenaid,Тостер KitchenAid 5KMT2109ESX,,13899,1,https://comfy.ua/toster-kitchenaid-5kmt2109esx.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1653466921,6977288,KITCHENAID,Тостер  KITCHENAID 5KMT2109EPT Green,13899,2846078,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры KitchenAid,kitchenaid,Тостер KitchenAid 5KMT2109EPT,,13899,1,https://comfy.ua/toster-kitchenaid-5kmt2109ept.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1653466990,,,,,.2784099,Красота и здоровье >> Уход за полостью рта,zelmer,Насадка для зубної щітки Zelmer ZTBA1010B,,359,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-zelmer-ztba1010b.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1653466992,,,,,2829716,Красота и здоровье >> Уход за полостью рта,ilera,Насадка для зубної щітки ILera Super Sonic BrightSmile (SSBSBH2001),,225,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-ilera-super-sonic-brightsmile-ssbsbh2001.html,499,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1653467003,,,,,2829715,Красота и здоровье >> Уход за полостью рта,ilera,Зубна щітка електрична ILera Super Sonic BrightSmile (SSBS2501),,760,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-ilera-super-sonic-brightsmile-ssbs2501.html,1299,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1653468004,,,,,.2827739,Игровые консоли и гейминг >> Комплектующие для игровых ПК,amd,Процесор AMD Ryzen 5 7600 (100-000001015),,7949,1,https://comfy.ua/processor-amd-ryzen-5-7600-100-000001015.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1653468009,,,,,.2827824,Игровые консоли и гейминг >> Комплектующие для игровых ПК,intel,Процесор Intel Core i7-14700 Box (BX8071514700),,16359,1,https://comfy.ua/processor-intel-core-i7-14700-box-bx8071514700.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1653468010,,,,,.2827825,Игровые консоли и гейминг >> Комплектующие для игровых ПК,intel,Процесор Intel Core i7-14700F Box (BX8071514700F),,15355,1,https://comfy.ua/processor-intel-core-i7-14700f-box-bx8071514700f.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1653468079,,,,,.2820741,Игровые консоли и гейминг >> Комплектующие для игровых ПК,intel,Процесор Intel Core i5-14600K Box (BX8071514600K),,11999,1,https://comfy.ua/processor-intel-core-i5-14600k-box-bx8071514600k.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1653468648,6949437,NUTRIBULLET,Мультипечь NUTRIBULLET NBA071B,5299,2832261,Техника для кухни >> Мелкая техника >> Мультипечи и аэрогрили >> Мультипечи и аэрогрили NUTRIBULLET,nutribullet,Мультипіч NUTRIBULLET NBA071B AIRFRY,,5299,1,https://comfy.ua/mul-tipech-nutribullet-nba071b-airfry.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1653468649,6796787,PHILCO,Фритюрница PHILCO PHAF 3500,2999,2081056,Техника для кухни >> Мелкая техника >> Мультипечи и аэрогрили >> Мультипечи и аэрогрили Philco,philco,Фритюрниця Philco PHAF 3500,,2999,1,https://comfy.ua/mul-tipech-philco-phaf-3500.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1653468650,6947432,TEFAL,Мультипечь TEFAL EY130A10,2899,2840727,Техника для кухни >> Мелкая техника >> Мультипечи и аэрогрили >> Мультипечи и аэрогрили Tefal,tefal,Мультипіч Tefal EY130A10,,2799,1,https://comfy.ua/mul-tipech-tefal-ey130a10.html,6199,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1653483053,6909781,GEMBIRD,Мышь GEMBIRD MUS-UL-02,249,2700038,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Gembird",gembird,Миша дротова Gembird Black (MUS-UL-02),,189,1,https://comfy.ua/mysh-provodnaja-gembird-black-mus-ul-02.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
1653492932,7089511,SKG,Массажер SKG Gun F3mini Red (723343),2842,2669836,Красота и здоровье >> Здоровье,skg,Масажер для тіла SKG Gun F3 mini Red,,2999,1,https://comfy.ua/massazher-dlja-tela-xiaomi-skg-gun-f3-mini-red.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1653492947,7089509,SKG,Массажер SKG Gun F3mini Gray (723345),2842,2669837,Красота и здоровье >> Здоровье,skg,Масажер для тіла SKG Gun F3 mini Gray,,2999,1,https://comfy.ua/massazher-dlja-tela-xiaomi-skg-gun-f3-mini-gray.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1653493337,,,,,2531866,Энергообеспечение >> Солнечные панели >> Солнечные панели все >> Солнечные панели все 2E,2e,Портативна сонячна панель 2E 2E-LSFC-100,,5999,1,https://comfy.ua/portativnaja-solnechnaja-panel-2e-2e-lsfc-100.html,,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,0
1653493345,6824637,2E,"Солнечная панель 2E 36 Вт USB-С 20W, USB-A 18W (2E-PSP0021)",2652,2531870,Энергообеспечение >> Солнечные панели >> Солнечные панели все >> Солнечные панели все 2E,2e,Портативна сонячна панель 2E 2E-PSP0021,,3439,1,https://comfy.ua/portativnaja-solnechnaja-panel-2e-2e-psp0021.html,,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,0
1653493354,,,,,2531871,Энергообеспечение >> Солнечные панели >> Солнечные панели все >> Солнечные панели все 2E,2e,Портативна сонячна панель 2E 2E-PSP0031,,7109,1,https://comfy.ua/portativnaja-solnechnaja-panel-2e-2e-psp0031.html,,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,0
1653496294,6375636,ORIBEL,Настенная игрушка ORIBEL OR807-90001,180,1716128,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Oribel,oribel,Інтерактивна тварина Oribel Veritiplay Молоточок Жабка (OR807-90001),,209,1,https://comfy.ua/interaktivnoe-zhivotnoe-oribel-veritiplay-molotochek-zhabka-or807-90001.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1653496301,6375637,ORIBEL,Настенная игрушка ORIBEL OR808-90001,180,1716129,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Oribel,oribel,Інтерактивна тварина Oribel Veritiplay Молоточок Тигр (OR808-90001),,209,1,https://comfy.ua/interaktivnoe-zhivotnoe-oribel-veritiplay-molotochek-tigr-or808-90001.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
