940690125,column,column,column,column,1824640,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_i5_10400__164_i510400164,column,15711,1,httpscomfyuasistemnyjblokqubeqbi510400164i510400164html,18059,05112025_1820,column,__42,Фастів,0
941432492,6805884,TEFAL,Нож сантоку TEFAL Fresh Kitchen 2 12 см + чехол (K1220104),399,1830726,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж кухонний Tefal Fresh Kitchen 12 см (K1220104),,399,1,https://comfy.ua/nozh-kuhonnyj-tefal-fresh-kitchen-12-sm-k1220104.html,539,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,2
941443844,,,,,1830853,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Сумка для ноутбуку Merlion 15,6'' Polyester Q65 (15DR)",,265,1,https://comfy.ua/sumka-dlja-noutbuka-merlion-15-6-polyester-q65-15dr.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
941449238,,,,,1826007,Техника для дома >> Аксессуары к мелкой технике,bosch,Набір фільтрів для пилососа Bosch BBZ152EF,,769,1,https://comfy.ua/catalog/product/view/id/2665073,809,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,1
941452010,,,,,1832343,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Підставка для мобільного пристрою UGREEN LP106 Black (50747),,249,1,https://comfy.ua/catalog/product/view/id/2696933,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
941452012,,,,,1832345,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Підставка для мобільного пристрою UGREEN LP247 White (80704),,249,1,https://comfy.ua/catalog/product/view/id/2696913,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
941452076,,,,,1832350,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Тримач для мобільного пристрою UGREEN LP373 White (20434),,499,1,https://comfy.ua/catalog/product/view/id/2696823,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
941452108,,,,,1832346,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Автотримач UGREEN LP228 Black 980871,,399,1,https://comfy.ua/catalog/product/view/id/2696993,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
941452109,,,,,1832348,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Підставка для мобільного пристрою UGREEN LP263 Aluminum (80708),,699,1,https://comfy.ua/catalog/product/view/id/2696873,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
941495182,,,,,1832495,Техника для кухни >> Крупная техника,bosch,Мікрохвильова піч (НВЧ) Bosch FFL023MW0,,5199,1,https://comfy.ua/catalog/product/view/id/2701263,5949,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
941689065,6742316,BOSCH,Микроволновая печь BOSCH FFL020MW0,3999,1832493,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Bosch,bosch,Мікрохвильова піч (НВЧ) Bosch FFL020MW0,,3999,1,https://comfy.ua/mikrovolnovaja-pech-svch-bosch-ffl020mw0.html,5249,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,2
941689114,6742318,BOSCH,Микроволновая печь BOSCH FFL023MW0,4699,1832495,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Bosch,bosch,Мікрохвильова піч (НВЧ) Bosch FFL023MW0,,5199,1,https://comfy.ua/mikrovolnovaja-pech-svch-bosch-ffl023mw0.html,5949,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
941689117,6742315,BOSCH,Микроволновая печь BOSCH FFL020MS1,4699,1832494,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Bosch,bosch,Мікрохвильова піч (НВЧ) Bosch FFL020MS1,,4699,1,https://comfy.ua/mikrovolnovaja-pech-svch-bosch-ffl020ms1.html,5699,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
941765755,,,,,1810097,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Colorway,colorway,"Автомобільний зарядний пристрій Colorway 2USB, 3.4A, 17W Red/Black (CW-CHA026-BK)",,189,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-colorway-2usb-3-4a-17w-red-black-cw-cha026-bk.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
941769772,,,,,1795896,Техника для кухни >> Мелкая техника,magio,Вафельниця Magio MG-397,,899,1,https://comfy.ua/catalog/product/view/id/2674523,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
941785476,,,,,1831369,Красота и здоровье >> Уход за волосами,ardesto,Вирівнювач волосся Ardesto HS-615D,,699,1,https://comfy.ua/catalog/product/view/id/2673283,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
941807016,6703593,ARRTX,Скетчбук для маркеров Arrtx A4 30 листов (LC302284),319,1834620,Детские товары >> Творчество и развитие,arrtx,Альбом для малювання Arrtx LC302284,,359,1,https://comfy.ua/catalog/product/view/id/2704493,399,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
942031984,6722861,SIGMA,Мобильный телефон SIGMA Comfort 50 HIT2020 Red (4827798120958),799,1830943,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Sigma mobile,sigma-mobile,Мобільний телефон Sigma mobile Comfort 50 Hit 2020 Dual Sim Red (4827798120958),,799,1,https://comfy.ua/mobil-nyj-telefon-sigma-mobile-comfort-50-hit-2020-dual-sim-red-4827798120958.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
942212050,,,,,1832016,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,Картридж для кольорових лазерних принтерів PrintPro HP CE505A LJ P2035/2050/2055 (PP-H505),,469,1,https://comfy.ua/catalog/product/view/id/2700393,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
942212073,,,,,.1832026,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway for HP LJ P2035/2055/M425dn (CE505/280A) (CW-H505/280M),,629,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-colorway-for-hp-lj-p2035-2055-m425dn-ce505-280a-cw-h505-280m.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
942212489,,,,,.1832018,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,Картридж для кольорових лазерних принтерів PrintPro for Samsung ML-2160 (D101S) (PP-S2160),,669,1,https://comfy.ua/kartridzh-dlja-cvetnyh-lazernyh-printerov-printpro-for-samsung-ml-2160-d101s-pp-s2160.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
942216437,,,,,1832343,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Підставка для мобільного пристрою UGREEN LP106 Black (50747),,249,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp106-black-50747.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
942216444,,,,,.1832345,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Підставка для мобільного пристрою UGREEN LP247 White (80704),,249,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp247-white-80704.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
942307938,6716872,INDESIT,Холодильник INDESIT LI7S1EW,15999,1833481,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Indesit,indesit,Холодильник Indesit LI7 S1E W,,15999,1,https://comfy.ua/holodil-nik-indesit-li7-s1e-w.html,18999,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
942307982,6578274,PECHAM,Набор насадок PECHAM Professional Black (6920674111113),339,1833346,Красота и здоровье >> Уход за полостью рта,pecham,Насадка для іригатора Pecham Professional (6920674111113),,339,1,https://comfy.ua/nasadka-dlja-irrigatora-pecham-professional-4-sht-6920674111113.html,558,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
942307997,6721563,PECHAM,Набор насадок PECHAM для электрической зубной щетки Black (390199080113),239,1833347,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Pecham,pecham,Насадка для зубної щітки Pecham Чорні 4 шт. (0390199080113),,239,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-pecham-chernye-4-sht-0390199080113.html,359,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
942308053,6703593,ARRTX,Скетчбук для маркеров Arrtx A4 30 листов (LC302284),319,1834620,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Arrtx,arrtx,Альбом для малювання Arrtx LC302284,,359,1,https://comfy.ua/al-bom-dlja-risovanija-arrtx-lc302284.html,399,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
942310774,6702828,GEMBIRD,Клавиатура Gembird (KB-MCH-04-UA),279,1834459,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Gembird",gembird,Клавіатура дротова Gembird KB-MCH-04-UA Black USB UKR,,179,1,https://comfy.ua/klaviatura-provodnaja-gembird-kb-mch-04-ua-black-usb-ukr.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
942311712,,,,,.1830233,Техника для дома >> Климатическая техника,carrier,Кондиціонер спліт Carrier 42QHP09E8S/38QHP09E8S,,39999,1,https://comfy.ua/kondicioner-split-carrier-42qhp09e8s-38qhp09e8s.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
942317824,,,,,1831088,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов UGREEN,ugreen,Мережевий зарядний пристрій UGREEN CD137 Type-C PD 20 W Charger White,,479,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-ugreen-cd137-type-c-pd-20-w-charger-white.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
942317828,,,,,1831204,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Автомобільний зарядний пристрій UGREEN CD213 36W 2xUSB QC 3.0 3A Car Charger Dark Blue (10144),,429,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-ugreen-cd213-36w-2xusb-qc-3-0-3a-car-charger-dark-blue-10144.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
942317829,,,,,1831087,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов UGREEN,ugreen,Мережевий зарядний пристрій UGREEN CD241 Mini PD 20W Fast Charger White (10220),,499,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-ugreen-cd241-mini-pd-20w-fast-charger-white-10220.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
942329341,,,,,1822766,"Аудио, фото и видео >> Наушники",soundmag,Амбушюр для навушників Soundmag Premium пінні M size 4.1 mm (1 пара),,199,1,https://comfy.ua/catalog/product/view/id/2708743,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
942340531,,,,,1832350,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Тримач для мобільного пристрою UGREEN LP373 White (20434),,499,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp373-white-20434.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
942340534,,,,,.1832346,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Автотримач UGREEN LP228 Black 980871,,399,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp228-black-980871.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
942340535,,,,,1832348,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Підставка для мобільного пристрою UGREEN LP263 Aluminum (80708),,699,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp263-aluminum-80708.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
942593230,,,,,1831089,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов UGREEN,ugreen,Автомобільний зарядний пристрій UGREEN ED018 24W 2xUSB Charger Black (50875),,349,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-ugreen-ed018-24w-2xusb-charger-black-50875.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
942593333,,,,,1829030,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Baseus,baseus,Мережевий зарядний пристрій Baseus 20W QC 1С (CCFS-SN01) Black,,449,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-baseus-20w-qc-1s-ccfs-sn01-black.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
942593334,,,,,1829031,Смартфоны и телефоны >> Аксессуары для смартфонов,baseus,Мережевий зарядний пристрій Baseus 20W QC 1С (CCFS-SN02) White,,469,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-baseus-20w-qc-1s-ccfs-sn02-white.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
942593606,,,,,1834347,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Xiaomi,xiaomi,Мережевий зарядний пристрій Xiaomi 20W Type-C White (BHR4927GL),,479,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-xiaomi-20w-type-c-white-bhr4927gl.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,2
942593884,,,,,1831598,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Colorway,colorway,Мережевий зарядний пристрій Colorway Type-C PD + USB QC3.0 (20W) V2 Black (CW-CHS025QPD-BK),,449,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-colorway-type-c-pd-usb-qc3-0-20w-v2-black-cw-chs025qpd-bk.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
