1244388080,column,column,column,column,1955500,Инструменты и автотовары >> Расходные материалы,irwin,__irwin_hss_pro_65_10__10502296,column,709,1,httpscomfyuanaborsverlirwinhsspro6510sht10502296html,column,05112025_2133,column,__42,Фастів,0
1250079205,6876043,BEURER,Весы напольные BEURER GS 215 Rome,1477,1970731,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Beurer,beurer,Ваги підлогові Beurer GS 215 Rome,,1479,1,https://comfy.ua/vesy-napol-nye-beurer-gs-215-rome.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1250079214,6876044,BEURER,Весы напольные BEURER GS 215 San Francisco,1477,1970732,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Beurer,beurer,Ваги підлогові Beurer GS 215 San Francisco,,1479,1,https://comfy.ua/vesy-napol-nye-beurer-gs-215-san-francisco.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1254199082,,,,,1971315,Детские товары >> Творчество и развитие,strateg,Набір для виготовлення іграшок Strateg Lamp-planet Зелений (30224),,145,1,https://comfy.ua/catalog/product/view/id/3726023,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1254277520,,,,,1971318,Детские товары >> Игрушки,strateg,Настільна гра (5-7 років) Strateg Октопу (укр) (30330),,72,1,https://comfy.ua/catalog/product/view/id/3726103,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1254360778,,,,,1970712,Детские товары >> Игрушки,strateg,Настільна гра (8+) Strateg Дуо Дабл (укр) (30218),,65,1,https://comfy.ua/catalog/product/view/id/3726063,,06.11.2025 0:25,,"вул. Соборна, 42",Фастів,0
1254450259,,,,,.1961737,Инструменты и автотовары >> Ручные инструменты,irwin,Струбцина IRWIN 150 мм Quick-Grip XP (10505942),,1345,1,https://comfy.ua/strubcina-irwin-150-mm-quick-grip-xp-10505942.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1254450279,,,,,.1961739,Инструменты и автотовары >> Ручные инструменты,irwin,Струбцина IRWIN 450 мм Quick-Grip XP (10505944),,1579,1,https://comfy.ua/strubcina-irwin-450-mm-quick-grip-xp-10505944.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1254450296,,,,,.1961740,Инструменты и автотовары >> Ручные инструменты,irwin,Струбцина IRWIN 600 мм Quick-Grip XP (10505945),,1689,1,https://comfy.ua/strubcina-irwin-600-mm-quick-grip-xp-10505945.html,,05.11.2025 22:07,,"вул. Соборна, 42",Фастів,0
1254450315,,,,,.1961742,Инструменты и автотовары >> Ручные инструменты,irwin,Струбцина IRWIN 1250 мм Quick-Grip XP (10505947),,2189,1,https://comfy.ua/strubcina-irwin-1250-mm-quick-grip-xp-10505947.html,,05.11.2025 22:07,,"вул. Соборна, 42",Фастів,0
1254450349,,,,,.1963958,Инструменты и автотовары >> Ручные инструменты,king-tony,Струбцина KING TONY 7CA21-24S,,5545,1,https://comfy.ua/strubcina-king-tony-7ca21-24s.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1255447786,6711461,DER WASCHKONIG,Гель для стирки Waschkonig Black 3.305 л (4260418930412),349,1957811,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Waschkonig,waschkonig,Гель для прання Waschkonig Black 3.305 л (4260418930412),,219,1,https://comfy.ua/gel-dlja-stirki-waschkonig-black-3-305-l-4260418930412.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1255997347,6711462,DER WASCHKONIG,Гель для стирки Waschkonig Color 3.305 л (4260418930429),349,1957813,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки Waschkonig,waschkonig,Гель для прання Waschkonig Color 3.305 л (4260418930429),,261,1,https://comfy.ua/gel-dlja-stirki-waschkonig-color-3-305-l-4260418930429.html,349,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,1
1257619093,,,,,1874852,"Дом, отдых и зоотовары >> Текстиль >> Подушки >> Подушки Ярослав",jaroslav,Подушка стандартна Ярослав силікон 70х50 (15152),,295,1,https://comfy.ua/podushka-standartnaja-jaroslav-silikon-70h50-15152.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1257659809,,,,,1971318,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Октопу (укр) (30330),,72,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-strateg-oktopu-ukr-30330.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1257659858,,,,,1970712,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (8+) Strateg Дуо Дабл (укр) (30218),,65,1,https://comfy.ua/nastol-naja-igra-kartochnaja-8-strateg-duo-dabl-ukr-30218.html,,06.11.2025 0:25,,"вул. Соборна, 42",Фастів,0
1257659910,,,,,1971314,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Strateg,strateg,Набір для виготовлення іграшок Strateg Lamp-planet Помаранчевий (30222),,145,1,https://comfy.ua/nabor-dlja-izgotovlenija-igrushek-strateg-lamp-planet-oranzhevyj-30222.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1257659944,,,,,1971325,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (8+) Strateg Встигни за 10 секунд (укр) (30723),,83,1,https://comfy.ua/nastol-naja-igra-kartochnaja-8-strateg-uspej-za-10-sekund-ukr-30723.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1257660035,,,,,1971315,Детские товары >> Творчество и развитие,strateg,Набір для виготовлення іграшок Strateg Lamp-planet Зелений (30224),,145,1,https://comfy.ua/nabor-dlja-izgotovlenija-igrushek-strateg-lamp-planet-zeljonyj-30224.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1257660052,6790001,GORENJE,Духовой шкаф GORENJE BO 6727 E03BG (BO3CO6M01-1),14399,1962214,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BO6727E03BG,,14399,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bo6727e03bg.html,14699,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1257660063,,,,,1962215,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BO6737E02X,,15599,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bo6737e02x.html,17599,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1257660097,6825625,MILANO,Стиральная машина MILANO ХРВ-30 PА blue,3622,1956713,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Milano,milano,Пральна машина Milano ХРВ-30 PА Blue,,3599,1,https://comfy.ua/stiral-naja-mashina-milano-hrv-30-pa-blue.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1257701276,6776600,KRAUFF,"Нож поварской KRAUFF Luxus 20,3 см (29-305-001)",525,1970927,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Krauff,krauff,Ніж кухаря Krauff 29-305-001 20.3 см,,472,1,https://comfy.ua/nozh-povara-krauff-29-305-001-20-3-sm.html,700,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1257704773,,,,,1897508,Техника для дома >> Климатическая техника,termija,"Конвектор Термія ЕВНА-1,0/230 С2М (мбі)",,2358,1,https://comfy.ua/konvektor-termija-evna-1-0-230-s2m-mbi.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1257705022,6811497,TEFAL,"Набор TEFAL Eversharp 16,5 см (K2569004)",1099,1971532,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж кухонний Tefal Eversharp 16.5 см з чохлом-точилкою (K2569004),,1099,1,https://comfy.ua/nozh-kuhonnyj-tefal-eversharp-16-5-sm-s-chehlom-tochilkoj-k2569004.html,1669,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,2
1257789500,7057044,STRATEG,Настольная игра STRATEG Искатели укр (30230),155,1975814,Детские товары >> Игрушки,strateg,Настільна гра (8 +) Strateg Шукачі (укр) (30230),,175,1,https://comfy.ua/catalog/product/view/id/3737303,,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
1257794641,6785640,KRAUFF,Термос KRAUFF 750мл (26-178-080),495,1970914,Посуда >> Для напитков >> Термопосуда >> Термопосуда Krauff,krauff,Термос Krauff 26-178-080 750 мл,,495,1,https://comfy.ua/termos-krauff-26-178-080-750-ml.html,660,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1257794709,6785641,KRAUFF,Термос KRAUFF 1000мл (26-178-081),545,1970915,Посуда >> Для напитков >> Термопосуда >> Термопосуда Krauff,krauff,Термос Krauff 26-178-081 1000 мл,,545,1,https://comfy.ua/termos-krauff-26-178-081-1000-ml.html,727,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1257794765,6785643,KRAUFF,Термос KRAUFF 1000мл (26-178-083),495,1970916,Посуда >> Для напитков >> Термопосуда >> Термопосуда Krauff,krauff,Термос Krauff 26-178-083 1000 мл,,495,1,https://comfy.ua/termos-krauff-26-178-083-1000-ml.html,660,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1257794767,6785644,KRAUFF,Термос Krauff Milos 1200 мл (26-178-084),555,1970917,Посуда >> Для напитков >> Термопосуда >> Термопосуда Krauff,krauff,Термос Krauff 26-178-084 1200 мл,,555,1,https://comfy.ua/termos-krauff-26-178-084-1200-ml.html,740,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1257794777,6785645,KRAUFF,Термос KRAUFF 2000мл (26-178-085),819,1970918,Посуда >> Для напитков >> Термопосуда >> Термопосуда Krauff,krauff,Термос Krauff 26-178-085 2000 мл,,855,1,https://comfy.ua/termos-krauff-26-178-085-2000-ml.html,1140,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1257850076,7057044,STRATEG,Настольная игра STRATEG Искатели укр (30230),155,1975814,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (8 +) Strateg Шукачі (укр) (30230),,175,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-8-strateg-iskateli-ukr-30230.html,,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
1257850243,,,,,1975817,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Monstro (укр) (32068),,55,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-strateg-monstro-ukr-32068.html,,06.11.2025 0:14,,"вул. Соборна, 42",Фастів,0
1257850318,,,,,.1976620,Детские товары >> Кормление,peg-perego,Стільчик для годування трансформер Peg-Perego Siesta Follow Me Jaguars (ягуар),,12299,1,https://comfy.ua/stul-chik-dlja-kormlenija-transformer-peg-perego-siesta-follow-me-jaguars-jaguar.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
1257850472,,,,,1976619,Comfy KIDS >> Кормление >> Стульчики для кормления >> Стульчики для кормления Peg-Perego,peg-perego,Стільчик для годування трансформер Peg-Perego Siesta Follow Me Aquarelle (квіткова фантазія),,12299,1,https://comfy.ua/stul-chik-dlja-kormlenija-transformer-peg-perego-siesta-follow-me-aquarelle-cvetochnaja-fantazija.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1257851036,6799274,KARCHER,Пылесос KARCHER VC 4 Cordless Premium myHome (1.198-640.0),9999,1962933,Техника для дома >> Мелкая техника,karcher,Пилосос ручний для дому Karcher VC 4 CORDLESS,,7649,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-karcher-vc-4-cordless.html,8999,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1257851104,,,,,1976419,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие 4М,4m,Набір для моделювання техніки 4М Робот-шукачів (00-03297),,1295,1,https://comfy.ua/nabor-dlja-modelirovanija-tehniki-4m-robot-kladoiskatel-00-03297.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1257851126,,,,,1976433,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие 4М,4m,Набір для моделювання техніки 4М Поїзд магнітною подушкою (00-03379),,989,1,https://comfy.ua/nabor-dlja-modelirovanija-tehniki-4m-poezd-na-magnitnoj-podushke-00-03379.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
