759120828,6197668,column,rechar_powerplant_htc_one_sv_c520e_dv00dv6202,139,1725492,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,____powerplant_htc_one_su_pm60120_dv00dv6202,column,399,1,httpscomfyuaakkumuljatordljamobilnogotelefonapowerplanthtconesupm60120dv00dv6202html,column,05112025_1948,column,__42,Фастів,0
759120828,6197668,,rechar PowerPlant HTC One SV C520e DV00DV6202,139,1725492,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC One SU (PM60120) (DV00DV6202),,399,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-htc-one-su-pm60120-dv00dv6202.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
759120829,,,,,1725512,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,"Акумулятор для мобільного телефону PowerPlant Lenovo S850, S850T (BL220) (DV00DV6302)",,159,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lenovo-s850-s850t-bl220-dv00dv6302.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
759135415,,,,,1725527,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Asus Zenfone 4 (C11P1404) (SM120024),,299,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-asus-zenfone-4-c11p1404-sm120024.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
759139584,,,,,1725547,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Xiaomi Redmi Note 3 (BM46) (SM220038),,499,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-xiaomi-redmi-note-3-bm46-sm220038.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
759140948,6630980,ECG,Электрочайник ECG RK 2020 Grey Glass,1025,1716926,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ECG,ecg,Електричний чайник ECG RK 2020 Grey Glass,,1025,1,https://comfy.ua/jelektricheskij-chajnik-ecg-rk-2020-grey-glass.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
759222160,6611577,LI'L WOODZEEZ,Набор фигурок LI'L WOODZEEZ Семья Медведей + Книга (6093M),740,1697943,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Сім'я Ведмедів (6093M),,999,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-sem-ja-medvedej-6093m.html,,06.11.2025 1:46,,"вул. Соборна, 42",Фастів,0
759278692,6553574,KID O,Магнитная доска KID O для рисования (10468),479,1703986,Детские товары >> Игрушки,kid-o,Доска Kid O Магнітна 3+ Світиться в темряві (10468),,499,1,https://comfy.ua/catalog/product/view/id/1821083,,05.11.2025 23:44,,"вул. Соборна, 42",Фастів,0
759425449,6553574,KID O,Магнитная доска KID O для рисования (10468),479,1703986,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Kid O,kid-o,Доска Kid O Магнітна 3+ Світиться в темряві (10468),,499,1,https://comfy.ua/doska-kid-o-magnitnaja-3-svetitsja-v-temnote-10468.html,,05.11.2025 23:44,,"вул. Соборна, 42",Фастів,0
759425457,,,,,1713598,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Bburago,bburago,"Колекційна машинка 1:32 Bburago Alfa 8C Competizione (2007) (червоний металік, 1:32) (18-43004)",,435,1,https://comfy.ua/kollekcionnaja-mashinka-1-32-bburago-alfa-8c-competizione-2007-krasnyj-metallik-1-32-18-43004.html,,06.11.2025 0:03,,"вул. Соборна, 42",Фастів,0
759425459,,,,,1727070,Comfy KIDS >> Игрушки >> Салоны красоты и декоративная косметика >> Салоны красоты и декоративная косметика Ses Creative,ses-creative,Набір для нігтів Ses Creative Модный маникюр (14975S),,529,1,https://comfy.ua/nabor-dlja-nogtej-ses-creative-modnyj-manikjur-14975s.html,,06.11.2025 0:54,,"вул. Соборна, 42",Фастів,0
