1652585664,column,column,column,column,2780121,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,____armorstandart_for_huawei_matepad_pro_11_2022_arm65759,column,349,1,httpscomfyuazaschitnajaplenkadljaplanshetaarmorstandartforhuaweimatepadpro112022arm65759html,column,05112025_2039,column,__42,Фастів,0
1652977991,,,,,2836182,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",asus,Маршрутизатор інтернет WiFi6 Asus RT-AX57,,3109,1,https://comfy.ua/marshrutizator-internet-wifi6-asus-rt-ax57-9047003.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1652979121,6877126,BOSCH,Мешок BOSCH для пылесосов EasyVac 3 5 шт. (2.609.256.F34),359,2822044,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Bosch,bosch,Набір мішків для пилососа Bosch EasyVac 3 5 шт. (2.609.256.F34),,359,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-bosch-easyvac-3-5-sht-2-609-256-f34.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1652979131,6926360,BOSCH,Набор мешков BOSCH GAS 15 для влажного мусора 5 шт (2.605.411.231),1610,2822053,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Bosch,bosch,Набір мішків для пилососа Bosch GAS 15 (2.605.411.231),,1475,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-bosch-gas-15-2-605-411-231.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1652986166,6965426,OUKITEL,Смартфон OUKITEL WP32 4/128GB Black (6931940733014),5219,2843848,Смартфоны и телефоны >> Смартфоны >> Смартфоны OUKITEL >> Серия OUKITEL WP32,oukitel,Смартфон OUKITEL WP32 4/128GB Black,,5219,1,https://comfy.ua/smartfon-oukitel-wp32-4-128gb-black.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1652986168,,,,,.2827678,Техника для дома >> Аксессуары к мелкой технике,electrolux,Набір фільтрів для пилососа Electrolux EF167,,789,1,https://comfy.ua/nabor-fil-trov-dlja-pylesosa-electrolux-ef167.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1652986172,6965424,OUKITEL,Смартфон OUKITEL wp23 pro 8/128GB NFC Dual Sim Orange,6415,2843851,Смартфоны и телефоны >> Смартфоны >> Смартфоны OUKITEL >> Серия OUKITEL WP23 Pro,oukitel,Смартфон OUKITEL WP23 Pro 8/128GB Orange,,6415,1,https://comfy.ua/smartfon-oukitel-wp23-pro-8-128gb-orange.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1652986196,,,,,2843849,Смартфоны и телефоны >> Смартфоны,oukitel,Смартфон OUKITEL WP27 12/256GB Camo,,11199,1,https://comfy.ua/smartfon-oukitel-wp27-12-256gb-camo.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1652987962,6989632,BLAUPUNKT,Телевизор BLAUPUNKT 42FBG5000,9999,2842215,Телевизоры и мультимедиа >> Телевизоры,blaupunkt,Телевізор Blaupunkt 42FBG5000,,9899,1,https://comfy.ua/televizor-blaupunkt-42fbg5000.html,10999,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1652988448,,,,,2841024,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Xiaomi,xiaomi,Смарт-годинник Xiaomi Redmi Watch 4 Obsidian Black,,2929,1,https://comfy.ua/smart-chasy-xiaomi-redmi-watch-4-obsidian-black.html,3499,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1652988478,7096057,GARMIN,Смарт-часы GARMIN MARQ Athlete Gen 2 Carbon Edition Black (010-02722-11),131249,2842008,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Garmin,garmin,Смарт-годинник Garmin MARQ Athlete Gen 2 (010-02722-11),,131249,1,https://comfy.ua/smart-chasy-garmin-marq-athlete-gen-2-010-02722-11.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1652988479,7096058,GARMIN,Смарт-часы GARMIN MARQ Golfer Gen 2 Carbon Edition Black (010-02722-21),134399,2842009,Смарт-часы и гаджеты >> Смарт-часы,garmin,Смарт-годинник Garmin MARQ Golfer Gen 2 (010-02722-21),,134399,1,https://comfy.ua/smart-chasy-garmin-marq-golfer-gen-2-010-02722-21.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1652989047,6974655,ACER,Ноутбук ACER Aspire 3 15 A315-44P-R6JH Pure Silver (NX.KSJEU.008),22999,2830353,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",acer,Ноутбук Acer Aspire 3 A315-44P (NX.KSJEU.008) Pure Silver,,22999,1,https://comfy.ua/noutbuk-acer-aspire-3-a315-44p-nx-ksjeu-008-pure-silver.html,28999,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1652989798,6963363,HP,Ноутбук HP 245-G10 Dark Ash Silver (85A08EA),26999,2837842,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все HP >> Серия HP 245",hp,Ноутбук HP 245-G10 (85A08EA) Dark Ash Silver,,26999,1,https://comfy.ua/noutbuk-hp-245-g10-85a08ea-dark-ash-silver.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1652990193,,,,,.2827783,Техника для дома >> Аксессуары к мелкой технике,electrolux,Насадка для пилососа Electrolux ERSB4,,395,1,https://comfy.ua/nasadka-dlja-pylesosa-electrolux-ersb4.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1652990194,,,,,2827802,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Electrolux,electrolux,Набір фільтрів для пилососа Electrolux EFR3,,445,1,https://comfy.ua/nabor-fil-trov-dlja-pylesosa-electrolux-efr3.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1652990205,,,,,.2827799,Техника для дома >> Аксессуары к мелкой технике,electrolux,Насадка для пилососа Electrolux ZE158,,569,1,https://comfy.ua/nasadka-dlja-pylesosa-electrolux-ze158.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1652990212,6733436,KARCHER,Комплект насадок-щеток KARCHER 2.863-221.0,660,2822046,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,Набір насадок для пилососа Karcher 2 шт. (2.863-221.0),,699,1,https://comfy.ua/nabor-nasadok-dlja-pylesosa-karcher-2-sht-2-863-221-0.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1652990530,,,,,.2827853,Техника для дома >> Аксессуары к мелкой технике,electrolux,Насадка для пилососа Electrolux ZE149,,2089,1,https://comfy.ua/nasadka-dlja-pylesosa-electrolux-ze149.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1652992878,6951019,ACER,Ноутбук ACER TravelMate TMP614-53 Shale Black (NX.B0AEU.002),52399,2830333,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",acer,Ноутбук Acer TravelMate TMP614-53 (NX.B0AEU.002) Galaxy Black,,47159,1,https://comfy.ua/noutbuk-acer-travelmate-tmp614-53-nx-b0aeu-002-galaxy-black.html,52399,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1653008896,6949305,NEO TOOLS,"""Набор инструментов Neo Tools 1/2"""", 1/4"""", CrV 86 шт (10-060)""",3999,2779819,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Neo Tools,neo-tools,"""Набір торцевих голівок Neo Tools 1/2"""", 1/4"""" 86 шт. (10-060)""",,3999,1,https://comfy.ua/nabor-torcevyh-golovok-neo-tools-1-2-1-4-86-sht-10-060.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1653008897,6949313,NEO TOOLS,"""Набор инструментов NEO TOOLS  1/2"""", 1/4"""" 82шт (10-059)""",5199,2779818,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Neo Tools,neo-tools,"""Набір торцевих голівок Neo Tools 1/2"""", 1/4"""" 82 шт. (10-059)""",,6399,1,https://comfy.ua/nabor-torcevyh-golovok-neo-tools-1-2-1-4-82-sht-10-059.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1653009072,6949310,NEO TOOLS,"""Набор инструментов Neo Tools 1/2"""", 1/4"""", 3/8"""", CrV 233 шт (10-078)""",9769,2779825,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Neo Tools,neo-tools,"""Набір торцевих голівок Neo Tools 1/2"""", 1/4"""", 3/8"""" 233 шт. (10-078)""",,9769,1,https://comfy.ua/nabor-torcevyh-golovok-neo-tools-1-2-1-4-3-8-233-sht-10-078.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
1653009368,,,,,2826941,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Точка доступу TP-Link EAP650,,4799,1,https://comfy.ua/tochka-dostupa-tp-link-eap650-9053493.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1653009431,,,,,.2789215,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм Gray (3301010066),,799,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-gray-3301010066.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1653009438,,,,,.2789216,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм White (3301010296),,849,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-white-3301010296.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1653009439,,,,,.2801138,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм (3301120001),,999,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-3301120001.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1653009500,,,,,.2815722,Смарт-часы и гаджеты >> Аксессуары,esun,Гумовий фотополімер Esun standard resin (STANDARD-B1),,1599,1,https://comfy.ua/rezinovyj-fotopolimer-esun-standard-resin-standard-b1.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1653009512,,,,,.2835818,Смарт-часы и гаджеты >> Аксессуары,elegoo,Гумовий фотополімер Elegoo ABS-like 1кг (50.103.0101),,1295,1,https://comfy.ua/rezinovyj-fotopolimer-elegoo-abs-like-1kg-50-103-0101-9022003.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1653009514,,,,,2835819,Смарт-часы и гаджеты >> Аксессуары,elegoo,Гумовий фотополімер Elegoo Water Washable Resin 1 кг (50.103.0117),,1599,1,https://comfy.ua/rezinovyj-fotopolimer-elegoo-water-washable-resin-1-kg-50-103-0117-9022013.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1653009520,,,,,.2835821,Смарт-часы и гаджеты >> Аксессуары,elegoo,Гумовий фотополімер Elegoo Water Washable Resin 8K 1 кг (50.103.0128),,1989,1,https://comfy.ua/rezinovyj-fotopolimer-elegoo-water-washable-resin-8k-1-kg-50-103-0128-9022053.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1653009521,,,,,.2835817,Смарт-часы и гаджеты >> Аксессуары,elegoo,Гумовий фотополімер Elegoo ABS-like 2.0 1 кг (50.103.0060),,1689,1,https://comfy.ua/rezinovyj-fotopolimer-elegoo-abs-like-2-0-1-kg-50-103-0060-9021993.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1653009523,,,,,2835816,Смарт-часы и гаджеты >> Аксессуары,creality,Гумовий фотополімер Creality High Fidelity Model Resin (3302020093),,1899,1,https://comfy.ua/rezinovyj-fotopolimer-creality-high-fidelity-model-resin-3302020093.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1653009664,6947529,ROTEX,Электрочайник ROTEX RKT91-GS,569,2790974,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Rotex,rotex,Електричний чайник Rotex RKT91-GS,,569,1,https://comfy.ua/jelektricheskij-chajnik-rotex-rkt91-gs.html,649,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1653014664,6977248,KITCHENAID,Электрочайник KITCHENAID 5KEK1701EER Red,12509,2846080,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические KitchenAid,kitchenaid,Електричний чайник KitchenAid 5KEK1701EER,,12509,1,https://comfy.ua/jelektricheskij-chajnik-kitchenaid-5kek1701eer.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1653014665,6977245,KITCHENAID,Электрочайник KITCHENAID Artisan 5KEK1522EBK Black,13799,2846073,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические KitchenAid,kitchenaid,Електричний чайник KitchenAid 5KEK1522EBK,,12419,1,https://comfy.ua/jelektricheskij-chajnik-kitchenaid-5kek1522ebk.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1653014666,6977249,KITCHENAID,Электрочайник KITCHENAID 5KEK1701ESX Stainless Steel,12509,2846079,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические KitchenAid,kitchenaid,Електричний чайник KitchenAid 5KEK1701ESX,,12509,1,https://comfy.ua/jelektricheskij-chajnik-kitchenaid-5kek1701esx.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1653014667,6977246,KITCHENAID,Электрочайник KITCHENAID Artisan 1.5 л Palm (5KEK1522EPP),13799,2842006,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические KitchenAid,kitchenaid,Електричний чайник KitchenAid 5KEK1522EPP,,12419,1,https://comfy.ua/jelektricheskij-chajnik-kitchenaid-5kek1522epp.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1653014828,,,,,.2844423,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hismart,Підставка під ноутбук HiSmart LPS03-3,,899,1,https://comfy.ua/podstavka-pod-noutbuk-hismart-lps03-3.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1653014829,,,,,.2844420,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",orico,Підставка під ноутбук Orico PFB-A21-SV-BP,,1199,1,https://comfy.ua/podstavka-pod-noutbuk-orico-pfb-a21-sv-bp.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1653015768,,,,,.2825955,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпусний вентилятор Gamemax GMX-12-CBB,,209,1,https://comfy.ua/korpusnyj-ventiljator-gamemax-gmx-12-cbb.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1653016119,,,,,.2825994,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпусний вентилятор Gamemax RB 300,,889,1,https://comfy.ua/korpusnyj-ventiljator-gamemax-rb-300.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
