1418674116,column,column,column,column,2174840,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",orico,_usb_orico_typec_usb30_3xusb_20_ah13gybp,column,439,1,httpscomfyuahabusboricotypecusb303xusb20ah13gybphtml,column,05112025_1755,column,__42,Фастів,0
1418674116,,,,,.2174840,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",orico,Хаб USB Orico Type-C USB3.0 3xUSB 2.0 (AH-13-GY-BP),,439,1,https://comfy.ua/hab-usb-orico-type-c-usb3-0-3xusb-2-0-ah-13-gy-bp.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1418674117,,,,,.2174839,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",orico,Хаб USB Orico USB 2.0 4 порта (FL02-WH-BP),,199,1,https://comfy.ua/hab-usb-orico-usb-2-0-4-porta-fl02-wh-bp.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1418674118,,,,,.2174841,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",orico,Хаб USB Orico Type-C USB3.0 2xUSB 2.0 TF (AH-12F-GY-BP),,499,1,https://comfy.ua/hab-usb-orico-type-c-usb3-0-2xusb-2-0-tf-ah-12f-gy-bp.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1418681635,6823040,ASUS,Гарнитура ASUS ROG Delta S Core 3.5 мм Black/Red (90YH03JC-B1UA00),4799,2174875,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры Asus",asus,Гарнітура дротова ігрова Asus ROG Delta S Core 3.5 мм Black/Red (90YH03JC-B1UA00),,4799,1,https://comfy.ua/garnitura-provodnaja-igrovaja-asus-rog-delta-s-core-3-5-mm-black-red-90yh03jc-b1ua00.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1418685308,6655854,PHILIPS,Монитор PHILIPS 276B9/00,12779,2173524,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Philips",philips,Монітор Philips 276B9/00,,12779,1,https://comfy.ua/monitor-philips-276b9-00.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1418698990,,,,,2149363,Смартфоны и телефоны >> Смартфоны >> Смартфоны Apple >> Серия Apple iPhone 14,apple,Смартфон Apple iPhone 14 256Gb Blue,,30999,1,https://comfy.ua/smartfon-apple-iphone-14-256gb-blue.html,31999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1418699033,,,,,2149340,Смартфоны и телефоны >> Смартфоны >> Смартфоны Apple >> Серия Apple iPhone 14,apple,Смартфон Apple iPhone 14 256Gb Midnight,,30999,1,https://comfy.ua/smartfon-apple-iphone-14-256gb-midnight.html,31999,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1418699061,,,,,2149376,Смартфоны и телефоны >> Смартфоны >> Смартфоны Apple >> Серия Apple iPhone 14,apple,Смартфон Apple iPhone 14 256Gb Starlight,,30999,1,https://comfy.ua/smartfon-apple-iphone-14-256gb-starlight.html,31999,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,1
1418699065,,,,,2149337,Смартфоны и телефоны >> Смартфоны >> Смартфоны Apple >> Серия Apple iPhone 14,apple,Смартфон Apple iPhone 14 128Gb Midnight,,25999,1,https://comfy.ua/smartfon-apple-iphone-14-128gb-midnight.html,26999,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,2
1418699105,6824708,APPLE,APPLE iPhone 14 128GB Blue (Demo),25999,2149335,Смартфоны и телефоны >> Смартфоны >> Смартфоны Apple >> Серия Apple iPhone 14,apple,Смартфон Apple iPhone 14 128Gb Blue,,25999,1,https://comfy.ua/smartfon-apple-iphone-14-128gb-blue.html,26999,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1418847710,6852404,SANDISK,Флеш-драйв SANDISK USB3.1 32GB Type-C Ultra Black (SDCZ460-032G-G46),336,2174858,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB SanDisk",sandisk,Флеш USB SanDisk USB3.1 32GB Type-C Ultra Black (SDCZ460-032G-G46),,315,1,https://comfy.ua/flesh-usb-sandisk-usb3-1-32gb-type-c-ultra-black-sdcz460-032g-g46.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1418878165,6869074,SANDISK,Флеш-драйв SANDISK 64GB USB-Type C Dual Drive Luxe (SDDDC4-064G-G46),535,2174867,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB SanDisk",sandisk,Флеш USB SanDisk USB 64GB Type-C Ultra Dual Luxe Silver (SDDDC4-064G-G46),,529,1,https://comfy.ua/flesh-usb-sandisk-usb-64gb-type-c-ultra-dual-luxe-silver-sdddc4-064g-g46.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1419056497,7078232,PANASONIC,Зарядное устройство PANASONIC Basic Charger BQ-CC51 + 4 шт AA 2000 мАч (K-KJ51MCD40E),1830,2172115,"Аудио, фото и видео >> Аксессуары для фото, видео >> Аккумуляторы, батарейки и зарядные устройства >> Аккумуляторы, батарейки и зарядные устройства Panasonic",panasonic,З/пристрій для акумуляторів AA/AAA Panasonic Basic Charger+ Eneloop 4AA 1900 mAh(K-KJ51MCD40E),,1829,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-panasonic-basic-charger-eneloop-4aa-1900-mah-k-kj51mcd40e.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,1
1419057651,6805819,SENCOR,Электробритва SENCOR SMS 4210BK,1299,2146392,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Sencor,sencor,Бритва Sencor SMS 4210BK,,1549,1,https://comfy.ua/britva-sencor-sms-4210bk.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1419063053,,,,,2172328,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Atlantic,atlantic,Конвектор Atlantic F17 Essential CMG BL-Meca/M (2000W),,2779,1,https://comfy.ua/konvektor-atlantic-f17-essential-cmg-bl-meca-m-2000w.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1419081790,6823254,SOLER&PALAU,Конвектор SOLER&PALAU TLS-503 T (5226832700),5697,2165491,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Soler&Palau,solerpalau,Конвектор Soler&Palau TLS-503 T,,5699,1,https://comfy.ua/konvektor-soler-palau-tls-503-t.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1419086741,,,,,.2172128,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for Oppo A76 Transparancy (707614),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-oppo-a76-transparancy-707614.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1419115885,,,,,1986042,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus ROG Strix LC 120 RGB (90RC0051-M0UAY0),,4395,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-asus-rog-strix-lc-120-rgb-90rc0051-m0uay0.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1419125234,,,,,.2137046,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart G-Case for Samsung A03 Core Black (ARM60868),,199,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-g-case-for-samsung-a03-core-black-arm60868.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1419252310,,,,,.2172131,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for Samsung Galaxy M33 5G SM-M336 Black (707618),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-samsung-galaxy-m33-5g-sm-m336-black-707618.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1419310249,6982717,SENCOR,Метеостанция SENCOR SWS 9898 WIFI,6499,2146405,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS9898WIFI,,6499,1,https://comfy.ua/meteostancija-sencor-sws9898wifi.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1419316579,6669495,PHILIPS,Триммер PHILIPS NT1650/16 серии 1000,699,2079117,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Philips,philips,Тример для носа і вух Philips NT1650/16,,699,1,https://comfy.ua/trimmer-dlja-nosa-i-ushej-philips-nt1650-16.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,1
1419316615,6726020,EINHELL,Пила торцовочная EINHELL TC-SM 2534/1 Dual (4300395),11515,1978635,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Einhell,einhell,Пила торцева Einhell TC-SM 2534/1 Dual (4300395),,11515,1,https://comfy.ua/pila-torcevaja-einhell-tc-sm-2534-1-dual-4300395.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
1419319690,6832362,ARDESTO,Кофеварка ARDESTO YCM-D060 Black,599,2170153,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Ardesto,ardesto,Кавоварка крапельна Ardesto YCM-D060 Black,,599,1,https://comfy.ua/kofevarka-kapel-naja-ardesto-ycm-d060-black.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1419321272,,,,,2167635,Смарт-часы и гаджеты >> Аксессуары,autel,Зарядний пристрій для квадрокоптера Autel EVO II (102000205),,2169,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-kvadrokoptera-autel-evo-ii-102000205.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1419321274,,,,,.2167637,Смарт-часы и гаджеты >> Аксессуары,autel,Акумулятор для квадрокоптера Autel EVO II (102000199),,5999,1,https://comfy.ua/akkumuljator-dlja-kvadrokoptera-autel-evo-ii-102000199.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1419322113,6855535,HAMA,Фонарь HAMA Professional 4 LED Torch L370 Black (00136673),399,2170119,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Hama",hama,Ліхтар Hama Professional 4 LED Torch L370 Black (00136673),,399,1,https://comfy.ua/fonar-hama-professional-4-led-torch-l370-black-00136673.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1419322310,6855537,HAMA,Фонарь HAMA Ultra Pro LED Torch L1000 Black (00185801),499,2170121,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Hama",hama,Ліхтар Hama Ultra Pro LED Torch L1000 Black (00185801),,699,1,https://comfy.ua/fonar-hama-ultra-pro-led-torch-l1000-black-00185801.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1419324708,6811427,CANON,МФУ лазерное CANON I-SENSYS MF453DW,18999,2155124,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ Canon",canon,БФП ч/б друку Canon MF453dw (5161C007BA),,18999,1,https://comfy.ua/mfu-ch-b-pechati-canon-mf453dw-5161c007ba.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
