1689163448,column,column,column,column,2950922,"Аудио, фото и видео >> Наушники",proove,___proove_70s_classic_ii_hpcl20010007,column,1349,1,httpscomfyuanaushnikinakladnyebesprovodnyeproove70sclassiciihpcl20010007html,column,05112025_1827,column,__42,Фастів,0
1689165670,,,,,2926800,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon MC-G04 Pixma G1430/G2430/G3430/G2470/G3470 (5813C001),,499,1,https://comfy.ua/kartridzh-dlja-strujnyh-printerov-mfu-canon-mc-g04-pixma-g1430-g2430-g3430-g2470-g3470-5813c001.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1689165775,,,,,2921909,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Тонер для заправки картриджа HP 154X LJ Tank 1502/1602/2502/2602 Black (5 000стор) (W1540X),,1009,1,https://comfy.ua/toner-dlja-zapravki-kartridzha-hp-154x-lj-tank-1502-1602-2502-2602-black-5-000stor-w1540x.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1689264725,,,,,.2863859,Инструменты и автотовары >> Расходные материалы,haisser,"Диск алмазний Haisser 125хх22,2 (5412701)",,60,1,https://comfy.ua/disk-almaznyj-haisser-125hh22-2-5412701.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1689264731,,,,,2855418,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Werk,werk,"Круг відрізний по металу Werk 300х3,0х32 (WE201114/4131721)",,135,1,https://comfy.ua/krug-otreznoj-po-metallu-werk-300h3-0h32-we201114-4131721.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1689264744,,,,,.2855417,Инструменты и автотовары >> Расходные материалы,werk,"Круг відрізний по металу Werk 180х2,0х22,2 (WE201109/4131716)",,50,1,https://comfy.ua/krug-otreznoj-po-metallu-werk-180h2-0h22-2-we201109-4131716.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
1689264745,,,,,.2855414,Инструменты и автотовары >> Расходные материалы,werk,Диск алмазний Werk Ceramics 1A1R 125x1.2x8x22.23 мм (4232626),,259,1,https://comfy.ua/disk-almaznyj-werk-ceramics-1a1r-125x1-2x8x22-23-mm-4232626.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1689264748,,,,,.2863861,Инструменты и автотовары >> Расходные материалы,svitjaz,"Диск шліфувальний по металу Світязь 125х22,2 (5471702)",,33,1,https://comfy.ua/disk-shlifoval-nyj-po-metallu-svitjaz-125h22-2-5471702.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1689264749,,,,,.2863864,Инструменты и автотовары >> Расходные материалы,svitjaz,"Диск шліфувальний по металу Світязь 125х22,2 (5472702)",,33,1,https://comfy.ua/disk-shlifoval-nyj-po-metallu-svitjaz-125h22-2-5472702.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1689264750,,,,,.2863865,Инструменты и автотовары >> Расходные материалы,svitjaz,"Диск шліфувальний по металу Світязь 125х22,2 (5472703)",,33,1,https://comfy.ua/disk-shlifoval-nyj-po-metallu-svitjaz-125h22-2-5472703.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1689264751,,,,,2863866,Инструменты и автотовары >> Расходные материалы,svitjaz,"Диск шліфувальний по металу Світязь 125х22,2 (5472704)",,33,1,https://comfy.ua/disk-shlifoval-nyj-po-metallu-svitjaz-125h22-2-5472704.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1689264752,,,,,.2863862,Инструменты и автотовары >> Расходные материалы,svitjaz,"Диск шліфувальний по металу Світязь 125х22,2 (5471703)",,33,1,https://comfy.ua/disk-shlifoval-nyj-po-metallu-svitjaz-125h22-2-5471703.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
1689265257,6877066,NEO TOOLS,Гамак Neo Tools 63-124,899,2835863,"Дом, отдых и зоотовары >> Отдых и путешествия >> Гамаки и качели >> Гамаки и качели Neo Tools",neo-tools,Гамак Neo Tools 63-124,,899,1,https://comfy.ua/gamak-neo-tools-63-124.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1689265258,6871601,NEO TOOLS,Гамак NEO TOOLS 210T (63-123),1449,2835861,"Дом, отдых и зоотовары >> Отдых и путешествия >> Гамаки и качели >> Гамаки и качели Neo Tools",neo-tools,Гамак Neo Tools 63-123,,1449,1,https://comfy.ua/gamak-neo-tools-63-123.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1689266442,6993345,KELA,Стакан KELA Ava 10.5х7.5 см Alps Green (24416),269,2963972,Бытовая химия >> Для ванной комнаты >> Органайзеры для ванной комнаты >> Органайзеры для ванной комнаты Kela,kela,Органайзер для ванної кімнати Kela Ava зелені альпи 10.5х7.5 см (24416),,244,1,https://comfy.ua/organajzer-dlja-vannoj-komnaty-kela-ava-zelenye-al-py-10-5h7-5-sm-24416.html,489,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1689266446,6993335,KELA,Дозатор для мыла KELA Sterling 300 мл Silver Shining (23782),1049,2964859,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Kela,kela,Дозатор для мила Kela Sterling 300 мл (23782),,524,1,https://comfy.ua/dozator-dlja-myla-kela-sterling-300-ml-23782.html,1049,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1689266447,6993324,KELA,Дозатор для мыла KELA Roda Red clay 200 мл (23752),1039,2964854,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Kela,kela,Дозатор для мила Kela Roda (23752),,519,1,https://comfy.ua/dozator-dlja-myla-kela-roda-23752.html,1039,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1689266449,6993235,KELA,Дозатор для мыла KELA Talus 300 мл (20303),1279,2964845,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Kela,kela,Дозатор для мила Kela Talus 300 мл (20303),,639,1,https://comfy.ua/dozator-dlja-myla-kela-talus-300-ml-20303.html,1279,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1689267899,6972696,KRAUFF,Кулинарная кисть KRAUFF 26 см 29-305-125,129,2894222,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Krauff,krauff,Пензлик кулiнарний Krauff 29-305-125,,129,1,https://comfy.ua/kist-kulinarnaja-krauff-29-305-125.html,162,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1689268707,6972698,KRAUFF,Лопатка KRAUFF 20.5 см 29-305-127,90,2894224,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Krauff,krauff,Лопатка кухонна Krauff 29-305-127,,90,1,https://comfy.ua/lopatka-kuhonnaja-krauff-29-305-127.html,112,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1689268709,6972697,KRAUFF,Лопатка KRAUFF 26.8 см 29-305-126,140,2894223,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Krauff,krauff,Лопатка кухонна Krauff 29-305-126,,140,1,https://comfy.ua/lopatka-kuhonnaja-krauff-29-305-126.html,175,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1689271038,6972694,KRAUFF,"Ложка кухонная KRAUFF 28,5см Green (29-305-123)",149,2894220,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Krauff,krauff,Ложка кухарська Krauff 29-305-123,,149,1,https://comfy.ua/lozhka-povarskaja-krauff-29-305-123.html,188,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1689271100,6987836,KRAUFF,"Набор крышек KRAUFF Smart Fit 14.5, 16.5, 20.5 см (29-298-044)",199,2949327,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды Krauff,krauff,Кришка для посуду Krauff 29-298-044 3 шт.,,199,1,https://comfy.ua/kryshka-dlja-posudy-krauff-29-298-044-3-sht.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1689271940,6875914,EINHELL,Отбойный молоток EINHELL TC-PC 45 пневматический 6.3 бар 113 л/мин (4139040),1243,2836181,Инструменты и автотовары >> Электроинструменты >> Отбойные молотки >> Отбойные молотки Einhell,einhell,Відбійний молоток Einhell TC-PC 45 (4139040),,1245,1,https://comfy.ua/otbojnyj-molotok-einhell-tc-pc-45-4139040.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1689272464,7052159,AJAX,IP-Камера AJAX TurretCam 8 мп 2.8 мм Black (000039324),6399,2964689,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры Ajax",ajax,IP-камера Ajax TurretCam (000039324),,6399,1,https://comfy.ua/ip-kamera-ajax-turretcam-000039324.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1689298235,6944242,SNAIGE,Холодильник SNAIGE RF58SM-S5DV2E,22355,2512257,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Snaige,snaige,Холодильник Snaige RF58SM-S5DV2E,,22355,1,https://comfy.ua/holodil-nik-snaige-rf58sm-s5dv2e.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1689299797,,,,,2953547,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Prime Technics,prime-technics,Мікрохвильова піч (НВЧ) Prime Technics PMW 23873 HB,,3999,1,https://comfy.ua/mikrovolnovaja-pech-svch-prime-technics-pmw-23873-hb.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1689299822,,,,,2953546,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Prime Technics,prime-technics,Мікрохвильова піч (НВЧ) Prime Technics PMW 23871 HW,,4099,1,https://comfy.ua/mikrovolnovaja-pech-svch-prime-technics-pmw-23871-hw.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1689306707,,,,,.2971440,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Корпусний вентилятор ARCTIC P14 Max (ACFAN00287A),,399,1,https://comfy.ua/korpusnyj-ventiljator-arctic-p14-max-acfan00287a.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1689307369,,,,,2917998,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Перехідник Cablexpert USB-C на HDMI (A-CM-HDMIF4K),,599,1,https://comfy.ua/perehodnik-cablexpert-usb-c-na-hdmi-a-cm-hdmif4k.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1689308473,,,,,2917999,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Перехідник Cablexpert USB-C на HDMI (A-CM-HDMIF8K),,1299,1,https://comfy.ua/perehodnik-cablexpert-usb-c-na-hdmi-a-cm-hdmif8k.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1689308664,6987816,KRAUFF,Турка KRAUFF Mokka 350 мл (26-202-032),559,2949326,"Посуда >> Для напитков >> Кофеварки гейзерные, турки >> Кофеварки гейзерные, турки Krauff",krauff,Турка Krauff 26-202-032 350 мл,,559,1,https://comfy.ua/turka-krauff-26-202-032-350-ml.html,746,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1689308666,6987817,KRAUFF,Турка KRAUFF 600 мл (26-202-033),639,2949325,"Посуда >> Для напитков >> Кофеварки гейзерные, турки >> Кофеварки гейзерные, турки Krauff",krauff,Турка Krauff 26-202-033 600 мл,,639,1,https://comfy.ua/turka-krauff-26-202-033-600-ml.html,852,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1689321324,,,,,2966218,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",powerplant,"Хаб USB PowerPlant USB Type-C - 2xUSB 3.0, 1xUSB 2.0, 1xType C (PD), HDMI, SD, RJ45 (CA913497)",,1495,1,https://comfy.ua/hab-usb-powerplant-usb-type-c-2xusb-3-0-1xusb-2-0-1xtype-c-pd-hdmi-sd-rj45-ca913497.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1689323249,7076448,LENOVO,Док-станция LENOVO Universal Business Dock USB-C (40B30090EU),8062,2907118,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Кардридеры и хабы >> Кардридеры и хабы Lenovo",lenovo,Док-станція Lenovo USB-C Universal Business Dock (40B30090EU),,7255,1,https://comfy.ua/dok-stancija-lenovo-usb-c-universal-business-dock-40b30090eu.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1689369348,6977935,FIFINE,Микрофон FIFINE K688W,2999,2965429,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны Fifine",fifine,Мікрофон до комп'ютера Fifine K688W,,2999,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-fifine-k688w.html,4299,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1689369349,6977934,FIFINE,Микрофон FIFINE A9W,3999,2965428,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны Fifine",fifine,Мікрофон до комп'ютера Fifine A9W,,3999,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-fifine-a9w.html,5499,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1689369350,6977936,FIFINE,Микрофон FIFINE TAM8,4999,2965430,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны Fifine",fifine,Мікрофон до комп'ютера Fifine TAM8,,4999,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-fifine-tam8.html,6299,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1689369351,6977937,FIFINE,Микрофон FIFINE TAM8W,4999,2965431,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны Fifine",fifine,Мікрофон до комп'ютера Fifine TAM8W,,4999,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-fifine-tam8w.html,6299,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1689369620,6999540,KITCHENAID,Набор посуды KITCHENAID Stainless Steel 5 предметов (CC005088-001),9999,2973318,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды KitchenAid,kitchenaid,"Набір посуду KitchenAid 16/20/24 см, 1.5/3.1/4.8 л 5 пр. (CC005088-001)",,9999,1,https://comfy.ua/nabor-posudy-kitchenaid-16-20-24-sm-1-5-3-1-4-8-l-5-pr-cc005088-001.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
